id,is_iceberg
5941774d,0.0897276550531
4023181e,0.816751003265
b20200e4,1.0
e7f018bb,0.975189328194
4371c8c3,0.925606429577
a8d9b1fd,0.0148913590237
29e7727e,0.129230380058
92a51ffb,0.996308863163
c769ac97,1.32912361672e-10
aee0547d,5.80723349183e-14
565b28ac,5.01897488903e-07
e04e9775,0.8668192029
8e8161d1,2.23266270041e-05
4cf4d256,0.690264880657
139e5324,0.995658636093
f156976f,0.000920887745451
68a117cc,0.00769973034039
d9aa7a56,0.903672754765
9005b143,0.992227613926
5f6d3988,0.668708443642
9ad70954,0.247184574604
b9087b9e,0.698658466339
a39a1427,0.997898459435
82fbe8ed,0.590525567532
1fae4879,2.63879582067e-28
6dd8f13d,1.72970416202e-12
bbad5958,0.128547698259
54527583,0.680958867073
be8fa29c,0.135317564011
81a3328f,0.971696376801
1a3c0ab3,2.43008280165e-09
4deeeb8b,0.49906000495
ac6d5632,0.508938670158
472dadb5,0.636178433895
96093f95,0.518097937107
f5b4e3df,0.917066216469
e01a3c92,0.000112415538752
001680af,0.21555891633
8e639f33,0.404611587524
a2c16612,0.682869553566
a6d76474,2.82399198593e-21
19c47684,0.893310129642
015827b6,0.999970316887
7df7f7ce,0.939796864986
0bbf1a3f,0.695480108261
636cfbb7,0.497569143772
7370030a,0.975314378738
43aa97ad,4.56898851553e-06
ba2b5e63,0.843584775925
dfdd335b,0.648807227612
e79b13dc,9.83550412034e-16
dc32b195,0.803705573082
6d868590,0.872993826866
75fa59aa,0.0142848873511
ffe50836,0.998078942299
a7bfd784,0.728539049625
b3d569e3,0.605632245541
6c538c5b,0.0661747530103
5c7c15f4,0.999999880791
0b745139,0.999931097031
fd14608e,0.631272614002
f0bc8305,0.257254809141
a10ccb28,0.965251088142
543304c7,0.698821365833
6c3a4078,2.58210345607e-38
9b73cc75,0.68604195118
5c6c71b1,0.0163722652942
09ee9186,0.67968660593
207c35cf,0.892547130585
153c813e,1.0
5605d58b,0.911793649197
642ca396,6.45094696665e-05
d32d72c0,0.857938230038
16646a17,0.918069660664
384074af,0.138739705086
69bf1e8c,0.69808614254
9e90a054,0.517622590065
89dbe7f7,0.79935324192
dbd27d22,0.956790804863
a2ea1561,0.595017254353
d63402af,0.584610998631
1ac8bb92,0.979347646236
8beffca5,0.997501432896
46741f3e,0.00099808908999
e5ee6aa7,0.260751843452
5ecd892b,0.695325672626
69892166,2.18210416847e-07
2f725a81,0.00982619915158
810abfe4,1.07992612456e-23
e6f973e6,0.992895066738
c60a5c46,0.0571571923792
c42b9e08,0.185428127646
c3f00c23,1.0
5307fdb8,0.984301030636
3e4f005e,0.00829100608826
4a4cc2e0,0.761133730412
9bdd88d1,9.30495719215e-18
0d832bed,0.0484821610153
14a134fa,3.62127003939e-08
78a41676,9.63066432158e-14
0bd4658e,0.00429935147986
4a311bb0,0.581201434135
f939c817,0.999986171722
956adc4d,0.990120530128
f8a119f5,0.702331364155
61faa1ad,0.942113637924
6725eb3e,0.900340855122
17b3a8fd,1.45540923313e-07
49a88dfc,2.45526528745e-16
2d6ec645,0.53469735384
0d4d77ba,0.753985822201
3ee672a2,0.993549883366
738b41fd,0.90711504221
f7fb320d,0.616646230221
b42fad18,1.7850640337e-19
4ab8b00a,0.662298738956
f7870f2b,0.0356592722237
4978666a,0.711406946182
f1b0d6c7,7.44097706047e-05
5642407f,0.000181019277079
36d4ff92,0.87393862009
4139aba2,0.955353140831
